feature,mean_abs_shap
us_aqi,26.781246
pm25_rolling_24h,6.946265
us_aqi_lag_1,3.2096403
us_aqi_diff_1,1.4104294
o3_lag_1,0.7771782
us_aqi_lag_2,0.5217007
hour,0.26171234
co_rolling_24h,0.21809714
pm25_trend,0.20589821
pm10_rolling_24h,0.17775463
no2_lag_1,0.1366137
us_aqi_diff_3,0.12440133
us_aqi_max_6,0.11783676
us_aqi_lag_3,0.10830048
temperature_c_lag_3,0.108194895
pm25_lag_1,0.10795914
pm10_trend,0.08790553
us_aqi_diff_6,0.064886995
pm10_lag_1,0.062270314
dust_lag_1,0.050592314
temperature_c_lag_6,0.047317915
temperature_c_lag_2,0.04677835
us_aqi_std_24,0.040114217
wind_speed_kmh_rolling_24h,0.037790857
no2_lag_24,0.03579546
o3_lag_24,0.034392707
co_lag_1,0.025292844
us_aqi_lag_72,0.024691887
o3_rolling_24h,0.023604663
us_aqi_lag_12,0.022315951
no2_rolling_24h,0.02022976
so2_rolling_24h,0.019416714
temperature_c_lag_1,0.017980115
us_aqi_max_12,0.017160088
us_aqi_rolling_24h,0.016384253
us_aqi_lag_6,0.015324721
so2_lag_1,0.014121504
wind_speed_kmh_lag_6,0.013424169
humidity_pct_lag_3,0.0132197775
dust_trend,0.013009282
us_aqi_trend,0.011668445
temperature_c_lag_24,0.011323051
no2_trend,0.010715169
humidity_pct_lag_1,0.009782364
humidity_pct_lag_6,0.009344793
us_aqi_lag_48,0.0090141045
temperature_c_lag_12,0.008258747
us_aqi_max_24,0.007894911
so2_trend,0.007150397
humidity_pct_lag_72,0.006789095
dust_rolling_24h,0.0064429264
so2_lag_24,0.0063643563
us_aqi_lag_24,0.0061151395
co_lag_24,0.0055585057
humidity_pct_lag_12,0.005546142
humidity_pct_lag_48,0.005490534
dust_lag_24,0.0054903068
temperature_c_trend,0.005462809
humidity_pct_lag_24,0.005322546
pm25_lag_24,0.005190112
temperature_c_lag_72,0.0049551036
wind_speed_kmh_lag_3,0.004842169
wind_speed_kmh_lag_12,0.0046513216
day,0.004570479
temperature_c_lag_48,0.004403823
wind_speed_kmh_lag_1,0.004297029
wind_speed_kmh_lag_2,0.0039046693
pm10_lag_24,0.0033796097
co_trend,0.0033589455
wind_speed_kmh_lag_48,0.0033010652
temperature_c_rolling_24h,0.0032737975
month,0.0031365156
wind_speed_kmh_lag_72,0.0029378755
o3_trend,0.0026949998
humidity_pct_lag_2,0.0026464632
wind_speed_kmh_lag_24,0.0024787984
humidity_pct_rolling_24h,0.0021401497
wind_speed_kmh_trend,0.0012783064
dayofweek,0.0009317299
humidity_pct_trend,0.0008289655
precipitation_mm_lag_1,0.00041622255
precipitation_mm_lag_12,0.00012383096
precipitation_mm_lag_2,5.4841617e-05
precipitation_mm_trend,4.459235e-05
is_weekend,4.4349825e-05
precipitation_mm_lag_24,2.6251959e-05
precipitation_mm_lag_72,2.5667992e-05
precipitation_mm_lag_6,0.0
precipitation_mm_lag_3,0.0
precipitation_mm_lag_48,0.0
precipitation_mm_rolling_24h,0.0
